DealID,WO.count,DisputedAccountsExcluded,PublicRecordsCount2,InstallmentBalance2,RealEstateBalance2,RevolvingBalance2,PastDueAmount2,MonthlyPayment2,RealEstatePayment2,RevolvingAvailablePercent2,TotalInquiries2,InquiriesDuringLast6Months2,TotalTradeItems2,PaidAccounts2,SatisfactoryAccounts2,NowDelinquentDerog2,PctNegTradesNow2,PctNegTradesWas2,PctNegTradesTotal2,WasDelinquentDerog2,OldesttradeopenYearsAgo2,DelinquenciesOver30Days2,DelinquenciesOver60Days2,DelinquenciesOver90Days2,DerogCounter2,SocialCount2,AddressCount2,SSN.years.ago2,FICO2.SCORE2,VantageScore3.SCORE2,TIB2,SSN.Missing,FICO700,FS1,FS2,FS3,FS4,FS9,FS10,FS11,FS12,FS13,FS16,FS17,FS19,FS20,FS27
87845,0,0,1,3,0,1,2,2,0,1,1,1,2,2,2,2,1,2,1,2,2,1,2,2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
87959,0,0,0,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88352,0,0,1,2,0,1,0,1,0,1,1,1,2,2,2,0,0,1,1,1,2,0,0,0,2,1,1,1,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
90455,0,0,1,3,2,1,2,2,1,1,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91723,1,0,1,3,0,1,1,2,0,1,1,1,2,2,2,1,1,2,1,2,2,1,1,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
91752,0,0,0,3,0,1,2,2,0,1,0,1,2,0,1,2,2,0,1,0,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
91918,0,0,0,2,0,2,0,2,0,1,0,1,2,1,2,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91969,1,0,0,3,0,1,0,2,0,1,1,1,2,2,2,0,0,0,0,0,2,0,0,0,0,1,2,1,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
92419,0,0,2,2,0,1,2,1,0,1,0,1,2,1,0,2,2,1,2,2,2,1,1,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
92921,0,0,0,2,2,2,0,2,1,1,0,1,2,2,2,0,0,1,1,2,2,1,1,0,0,1,1,1,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
92941,0,0,0,2,0,0,0,2,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
92982,0,0,1,2,0,2,1,2,0,1,1,1,2,1,1,1,1,2,1,2,1,2,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
