"","Var","Score","Variables_Names"
"1","29_37_41_124_149","32.3269","VantageScore3.SCORE__FS9__FS13__AssociateBankrupt1YearCount__OrgParentCompany"
"2","29_37_88","31.9335","VantageScore3.SCORE__FS9__AssetWatercraftCount"
"3","29_37_58","31.6843","VantageScore3.SCORE__FS9__OrgRelatedCount"
"4","29_37_75","31.6843","VantageScore3.SCORE__FS9__JudgmentCount"
"5","29_37_65","31.6843","VantageScore3.SCORE__FS9__BankruptcyCount"
"6","29_37_76","31.6843","VantageScore3.SCORE__FS9__JudgmentCount12Month"
"7","29_37_67","31.6836","VantageScore3.SCORE__FS9__BankruptcyCount24Month"
"8","29_37_189","30.7533","VantageScore3.SCORE__FS9__SecurityStatementPresent"
"9","29_37","30.7075","VantageScore3.SCORE__FS9"
"10","29_40_95","29.7509","VantageScore3.SCORE__FS12__InquiryCredit03Month"
"11","29_40_155","29.2414","VantageScore3.SCORE__FS12__GovernmentDebarred"
"12","29_95_111","28.7409","VantageScore3.SCORE__InquiryCredit03Month__BusExecLinkInquiryOverlapCount3"
"13","29_95_100","28.7313","VantageScore3.SCORE__InquiryCredit03Month__InquiryConsumerAddressSSN"
"14","29_40_109","28.5155","VantageScore3.SCORE__FS12__BusExecLinkPropertyOverlapCount3"
"15","29_155_160","28.4975","VantageScore3.SCORE__GovernmentDebarred__BusExecLinkBusNameAuthRepFirst"
"16","29_41_124","28.418","VantageScore3.SCORE__FS13__AssociateBankrupt1YearCount"
"17","29_67_124_130","28.3624","VantageScore3.SCORE__BankruptcyCount24Month__AssociateBankrupt1YearCount__AssociateWatchlistCount"
"18","29_124_152","28.2833","VantageScore3.SCORE__AssociateBankrupt1YearCount__BankruptcyChapter"
"19","29_124","28.2833","VantageScore3.SCORE__AssociateBankrupt1YearCount"
"20","29_76_124","28.2833","VantageScore3.SCORE__JudgmentCount12Month__AssociateBankrupt1YearCount"
"21","29_87_124","28.2833","VantageScore3.SCORE__AssetAircraftCount__AssociateBankrupt1YearCount"
"22","29_41_83_109","28.2403","VantageScore3.SCORE__FS13__AssetPropertyStateCount__BusExecLinkPropertyOverlapCount3"
"23","29_83_95_149","28.235","VantageScore3.SCORE__AssetPropertyStateCount__InquiryCredit03Month__OrgParentCompany"
"24","29_149_160","28.2322","VantageScore3.SCORE__OrgParentCompany__BusExecLinkBusNameAuthRepFirst"
"25","29_160","28.1478","VantageScore3.SCORE__BusExecLinkBusNameAuthRepFirst"
"26","29_77_160","28.1478","VantageScore3.SCORE__JudgmentCount24Month__BusExecLinkBusNameAuthRepFirst"
"27","29_65_160","28.1478","VantageScore3.SCORE__BankruptcyCount__BusExecLinkBusNameAuthRepFirst"
"28","29_100","28.1471","VantageScore3.SCORE__InquiryConsumerAddressSSN"
"29","29_111_152","28.1002","VantageScore3.SCORE__BusExecLinkInquiryOverlapCount3__BankruptcyChapter"
"30","29_110_152","28.1002","VantageScore3.SCORE__BusExecLinkUtilityOverlapCount3__BankruptcyChapter"
"31","29_87_110_120","28.1002","VantageScore3.SCORE__AssetAircraftCount__BusExecLinkUtilityOverlapCount3__AssociateFelonyCount"
"32","29_111_121","28.1002","VantageScore3.SCORE__BusExecLinkInquiryOverlapCount3__AssociateCountWithFelony"
"33","29_77_109","28.1002","VantageScore3.SCORE__JudgmentCount24Month__BusExecLinkPropertyOverlapCount3"
"34","29_77_110","28.1002","VantageScore3.SCORE__JudgmentCount24Month__BusExecLinkUtilityOverlapCount3"
"35","29_95","28.0875","VantageScore3.SCORE__InquiryCredit03Month"
"36","29_83_95","28.0875","VantageScore3.SCORE__AssetPropertyStateCount__InquiryCredit03Month"
"37","29_40","27.9215","VantageScore3.SCORE__FS12"
"38","29_103_109","27.9112","VantageScore3.SCORE__BusExecLinkUtilityOverlapCount__BusExecLinkPropertyOverlapCount3"
"39","29_41_88","27.8937","VantageScore3.SCORE__FS13__AssetWatercraftCount"
"40","29_75_155","27.8504","VantageScore3.SCORE__JudgmentCount__GovernmentDebarred"
"41","29_155","27.8504","VantageScore3.SCORE__GovernmentDebarred"
"42","29_65_155","27.8504","VantageScore3.SCORE__BankruptcyCount__GovernmentDebarred"
"43","29_58_88","27.75","VantageScore3.SCORE__OrgRelatedCount__AssetWatercraftCount"
"44","29_88","27.75","VantageScore3.SCORE__AssetWatercraftCount"
"45","29_76_88","27.75","VantageScore3.SCORE__JudgmentCount12Month__AssetWatercraftCount"
"46","29_41_58","27.6555","VantageScore3.SCORE__FS13__OrgRelatedCount"
"47","29_41_76","27.6555","VantageScore3.SCORE__FS13__JudgmentCount12Month"
"48","29_41_77","27.6555","VantageScore3.SCORE__FS13__JudgmentCount24Month"
"49","29_41_120","27.6555","VantageScore3.SCORE__FS13__AssociateFelonyCount"
"50","29_41_60","27.6555","VantageScore3.SCORE__FS13__OrgAddrLegalEntityCount"
"51","29_41_129","27.6555","VantageScore3.SCORE__FS13__AssociateHighRiskAddrCount"
"52","29_60_149","27.606","VantageScore3.SCORE__OrgAddrLegalEntityCount__OrgParentCompany"
"53","29_76_149","27.606","VantageScore3.SCORE__JudgmentCount12Month__OrgParentCompany"
"54","29_149","27.606","VantageScore3.SCORE__OrgParentCompany"
"55","29_130_149","27.606","VantageScore3.SCORE__AssociateWatchlistCount__OrgParentCompany"
"56","29_67","27.5949","VantageScore3.SCORE__BankruptcyCount24Month"
"57","29_67_83","27.5949","VantageScore3.SCORE__BankruptcyCount24Month__AssetPropertyStateCount"
"58","29_67_130","27.5949","VantageScore3.SCORE__BankruptcyCount24Month__AssociateWatchlistCount"
"59","29_67_87","27.5949","VantageScore3.SCORE__BankruptcyCount24Month__AssetAircraftCount"
