,Top.Module,Measure,Variables_Names
1,66_78_83_110,4008.558552,BankruptcyCount12Month__JudgmentTimeNewest__AssetPropertyStateCount__BusExecLinkUtilityOverlapCount3
2,66_83_110,4004.468263,BankruptcyCount12Month__AssetPropertyStateCount__BusExecLinkUtilityOverlapCount3
3,66_110,3989.155911,BankruptcyCount12Month__BusExecLinkUtilityOverlapCount3
4,67_101_109_123,3852.01923,BankruptcyCount24Month__BusExecLinkPropertyOverlapCount__BusExecLinkPropertyOverlapCount3__AssociateCountWithBankruptcy
5,100_109_179,3463.444563,InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3__BusAddrPersonNameOverlap
6,66_72_78_107,3446.90002,BankruptcyCount12Month__LienTimeNewest__JudgmentTimeNewest__BusExecLinkUtilityOverlapCount2
7,66_101_107,3381.869733,BankruptcyCount12Month__BusExecLinkPropertyOverlapCount__BusExecLinkUtilityOverlapCount2
8,66_105_152,3379.507205,BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__BankruptcyChapter
9,66_105_106,3377.979065,BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__BusExecLinkBusAddrAuthRep2Owned
10,100_107_130,3368.935159,InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount2__AssociateWatchlistCount
11,66_105_124,3350.295902,BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__AssociateBankrupt1YearCount
12,66_105_120,3322.68474,BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__AssociateFelonyCount
13,67_79_105_123,3315.243551,BankruptcyCount24Month__JudgmentTimeOldest__BusExecLinkPropertyOverlapCount2__AssociateCountWithBankruptcy
14,56_105_131,3314.808499,FirmReportedEarnings__BusExecLinkPropertyOverlapCount2__AssociateBusinessCount
15,100_105_120,3310.135058,InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2__AssociateFelonyCount
16,66_107_121,3298.928474,BankruptcyCount12Month__BusExecLinkUtilityOverlapCount2__AssociateCountWithFelony
17,73_109_153,3273.459994,LienTimeOldest__BusExecLinkPropertyOverlapCount3__LienType
18,74_109_153,3273.446558,LienDollarTotal__BusExecLinkPropertyOverlapCount3__LienType
19,66_105_131,3256.646221,BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__AssociateBusinessCount
20,63_65_66_107,3255.578611,SOSEverDefunct__BankruptcyCount__BankruptcyCount12Month__BusExecLinkUtilityOverlapCount2
21,100_107_131,3244.199306,InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount2__AssociateBusinessCount
22,59_65_100_107,3238.09347,OrgLegalEntityCount__BankruptcyCount__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount2
23,100_105_123,3236.078215,InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2__AssociateCountWithBankruptcy
24,66_105_114,3230.871571,BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__InputAddrLotSize
25,67_105_123,3221.478998,BankruptcyCount24Month__BusExecLinkPropertyOverlapCount2__AssociateCountWithBankruptcy
26,66_105_117,3209.491206,BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__InputPhoneEntityCount
27,100_105_117,3197.077374,InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2__InputPhoneEntityCount
28,66_107,3157.764335,BankruptcyCount12Month__BusExecLinkUtilityOverlapCount2
29,100_105,3152.963435,InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2
30,100_109_114_166,3104.772846,InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3__InputAddrLotSize__BusExecLinkAuthRep2NameOnFile
31,88_110_113,2979.351052,AssetWatercraftCount__BusExecLinkUtilityOverlapCount3__InputAddrSourceCount
32,9_100_110,2898.161347,RevolvingAvailablePercent__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3
33,100_110_166,2788.166326,InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRep2NameOnFile
34,20_67_109,2642.35676,OldesttradeopenYearsAgo__BankruptcyCount24Month__BusExecLinkPropertyOverlapCount3
35,17_88_109,2636.945465,PctNegTradesWas__AssetWatercraftCount__BusExecLinkPropertyOverlapCount3
36,88_107_113,2507.872868,AssetWatercraftCount__BusExecLinkUtilityOverlapCount2__InputAddrSourceCount
37,18_56_109,2478.460684,PctNegTradesTotal__FirmReportedEarnings__BusExecLinkPropertyOverlapCount3
38,41_46_109,2443.323357,FS13__FS27__BusExecLinkPropertyOverlapCount3
39,64_100_109,2374.003379,SOSStateCount__InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3
40,67_87_110_157,2369.249137,BankruptcyCount24Month__AssetAircraftCount__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRepAddrOnFile
41,17_56_109,2350.106022,PctNegTradesWas__FirmReportedEarnings__BusExecLinkPropertyOverlapCount3
42,100_110_157,2166.702202,InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRepAddrOnFile
43,67_105_131_157,2007.685966,BankruptcyCount24Month__BusExecLinkPropertyOverlapCount2__AssociateBusinessCount__BusExecLinkAuthRepAddrOnFile
44,107_110,1967.45718,BusExecLinkUtilityOverlapCount2__BusExecLinkUtilityOverlapCount3
45,56_98_109,1944.291235,FirmReportedEarnings__InquiryConsumerAddress__BusExecLinkPropertyOverlapCount3
46,88_98_110,1938.890787,AssetWatercraftCount__InquiryConsumerAddress__BusExecLinkUtilityOverlapCount3
47,56_63_107_180,1914.847826,FirmReportedEarnings__SOSEverDefunct__BusExecLinkUtilityOverlapCount2__InputAddrType
48,56_105_107,1912.866124,FirmReportedEarnings__BusExecLinkPropertyOverlapCount2__BusExecLinkUtilityOverlapCount2
49,72_103_105,1891.27951,LienTimeNewest__BusExecLinkUtilityOverlapCount__BusExecLinkPropertyOverlapCount2
50,56_109_132,1870.499361,FirmReportedEarnings__BusExecLinkPropertyOverlapCount3__AssociateCityCount
51,64_103_110,1857.849964,SOSStateCount__BusExecLinkUtilityOverlapCount__BusExecLinkUtilityOverlapCount3
52,100_109_132,1826.417704,InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3__AssociateCityCount
53,67_107_157,1824.999829,BankruptcyCount24Month__BusExecLinkUtilityOverlapCount2__BusExecLinkAuthRepAddrOnFile
54,83_88_105_180,1765.265478,AssetPropertyStateCount__AssetWatercraftCount__BusExecLinkPropertyOverlapCount2__InputAddrType
55,56_83_105_132,1750.178294,FirmReportedEarnings__AssetPropertyStateCount__BusExecLinkPropertyOverlapCount2__AssociateCityCount
56,56_105_180,1672.91422,FirmReportedEarnings__BusExecLinkPropertyOverlapCount2__InputAddrType
57,18_84_110,1669.301508,PctNegTradesTotal__AssetPropertyLotSizeTotal__BusExecLinkUtilityOverlapCount3
58,4_67_83_109_178,1650.869308,RealEstateBalance__BankruptcyCount24Month__AssetPropertyStateCount__BusExecLinkPropertyOverlapCount3__BusFEINPersonPhoneOverlap
59,1_105_107,1636.358004,DisputedAccountsExcluded__BusExecLinkPropertyOverlapCount2__BusExecLinkUtilityOverlapCount2
60,88_98_105,1623.68366,AssetWatercraftCount__InquiryConsumerAddress__BusExecLinkPropertyOverlapCount2
61,56_98_105,1619.532757,FirmReportedEarnings__InquiryConsumerAddress__BusExecLinkPropertyOverlapCount2
62,67_87_109_178,1602.992915,BankruptcyCount24Month__AssetAircraftCount__BusExecLinkPropertyOverlapCount3__BusFEINPersonPhoneOverlap
63,56_107_132,1564.919323,FirmReportedEarnings__BusExecLinkUtilityOverlapCount2__AssociateCityCount
64,67_105_132,1527.344864,BankruptcyCount24Month__BusExecLinkPropertyOverlapCount2__AssociateCityCount
65,41_46_105,1525.758775,FS13__FS27__BusExecLinkPropertyOverlapCount2
66,88_99_110,1514.278854,AssetWatercraftCount__InquiryConsumerPhone__BusExecLinkUtilityOverlapCount3
67,14_100_110,1505.587969,SatisfactoryAccounts__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3
68,11_100_109,1465.492987,InquiriesDuringLast6Months__InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3
69,93_105_107,1452.295532,InquiryHighRisk03Month__BusExecLinkPropertyOverlapCount2__BusExecLinkUtilityOverlapCount2
70,100_109_115_128,1426.488782,InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3__InputAddrAssessedTotal__AssociateCountWithJudgment
71,63_100_110_159,1421.365247,SOSEverDefunct__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRepPhoneOnFile
72,88_109_115,1389.364944,AssetWatercraftCount__BusExecLinkPropertyOverlapCount3__InputAddrAssessedTotal
73,56_110_153_159,1383.654914,FirmReportedEarnings__BusExecLinkUtilityOverlapCount3__LienType__BusExecLinkAuthRepPhoneOnFile
74,18_88_107,1375.296127,PctNegTradesTotal__AssetWatercraftCount__BusExecLinkUtilityOverlapCount2
75,9_67_107,1369.659145,RevolvingAvailablePercent__BankruptcyCount24Month__BusExecLinkUtilityOverlapCount2
76,67_109_178,1365.426226,BankruptcyCount24Month__BusExecLinkPropertyOverlapCount3__BusFEINPersonPhoneOverlap
77,67_107_124_178,1355.480781,BankruptcyCount24Month__BusExecLinkUtilityOverlapCount2__AssociateBankrupt1YearCount__BusFEINPersonPhoneOverlap
78,24_100_109,1355.26377,DerogCounter__InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3
79,2_100_110_156,1350.727489,PublicRecordsCount__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRepNameOnFile
80,18_56_105,1335.287904,PctNegTradesTotal__FirmReportedEarnings__BusExecLinkPropertyOverlapCount2
81,13_88_109,1324.822377,PaidAccounts__AssetWatercraftCount__BusExecLinkPropertyOverlapCount3
82,67_105_114_178,1315.962845,BankruptcyCount24Month__BusExecLinkPropertyOverlapCount2__InputAddrLotSize__BusFEINPersonPhoneOverlap
83,68_105_127_179_182,1313.813516,BankruptcyTimeNewest__BusExecLinkPropertyOverlapCount2__AssociateJudgmentCount__BusAddrPersonNameOverlap__InputPhoneProblems
84,20_67_107,1312.829201,OldesttradeopenYearsAgo__BankruptcyCount24Month__BusExecLinkUtilityOverlapCount2
85,56_110_159,1308.970136,FirmReportedEarnings__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRepPhoneOnFile
86,55_109_159_179,1300.552582,FirmReportedSales__BusExecLinkPropertyOverlapCount3__BusExecLinkAuthRepPhoneOnFile__BusAddrPersonNameOverlap
87,78_99_105_130,1284.431468,JudgmentTimeNewest__InquiryConsumerPhone__BusExecLinkPropertyOverlapCount2__AssociateWatchlistCount
88,60_99_105_152,1284.018167,OrgAddrLegalEntityCount__InquiryConsumerPhone__BusExecLinkPropertyOverlapCount2__BankruptcyChapter
89,67_99_107,1279.491717,BankruptcyCount24Month__InquiryConsumerPhone__BusExecLinkUtilityOverlapCount2
90,87_99_107_124,1276.932569,AssetAircraftCount__InquiryConsumerPhone__BusExecLinkUtilityOverlapCount2__AssociateBankrupt1YearCount
91,59_99_107_121,1259.336195,OrgLegalEntityCount__InquiryConsumerPhone__BusExecLinkUtilityOverlapCount2__AssociateCountWithFelony
92,12_100_110,1238.058709,TotalTradeItems__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3
93,17_88_107,1232.451238,PctNegTradesWas__AssetWatercraftCount__BusExecLinkUtilityOverlapCount2
94,55_105_152_158,1216.230241,FirmReportedSales__BusExecLinkPropertyOverlapCount2__BankruptcyChapter__BusExecLinkAuthRepSSNOnFile
95,12_88_109,1193.418348,TotalTradeItems__AssetWatercraftCount__BusExecLinkPropertyOverlapCount3
96,25_99_107_122,1178.822087,SocialCount__InquiryConsumerPhone__BusExecLinkUtilityOverlapCount2__AssociateBankruptCount
97,1_106_109_166,1167.319124,DisputedAccountsExcluded__BusExecLinkBusAddrAuthRep2Owned__BusExecLinkPropertyOverlapCount3__BusExecLinkAuthRep2NameOnFile
98,22_56_109,1138.42216,DelinquenciesOver60Days__FirmReportedEarnings__BusExecLinkPropertyOverlapCount3
99,76_105_107,1137.235283,JudgmentCount12Month__BusExecLinkPropertyOverlapCount2__BusExecLinkUtilityOverlapCount2
100,83_99_107,1129.634154,AssetPropertyStateCount__InquiryConsumerPhone__BusExecLinkUtilityOverlapCount2
101,41_106_107,1127.112314,FS13__BusExecLinkBusAddrAuthRep2Owned__BusExecLinkUtilityOverlapCount2
102,67_105_178,1112.36836,BankruptcyCount24Month__BusExecLinkPropertyOverlapCount2__BusFEINPersonPhoneOverlap
103,22_100_110,1112.047111,DelinquenciesOver60Days__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3
104,84_110_125_143,1069.966671,AssetPropertyLotSizeTotal__BusExecLinkUtilityOverlapCount3__AssociateLienCount__VerificationBusInputAddr
105,67_105_159,1056.212334,BankruptcyCount24Month__BusExecLinkPropertyOverlapCount2__BusExecLinkAuthRepPhoneOnFile
106,22_67_110,1019.553076,DelinquenciesOver60Days__BankruptcyCount24Month__BusExecLinkUtilityOverlapCount3
107,9_99_105,1011.549548,RevolvingAvailablePercent__InquiryConsumerPhone__BusExecLinkPropertyOverlapCount2
108,33_100_110,950.0535173,FS1__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3
109,29_88_105,947.9245389,VantageScore3.SCORE__AssetWatercraftCount__BusExecLinkPropertyOverlapCount2
110,29_88_107,947.8851655,VantageScore3.SCORE__AssetWatercraftCount__BusExecLinkUtilityOverlapCount2
111,13_99_105_129,946.762608,PaidAccounts__InquiryConsumerPhone__BusExecLinkPropertyOverlapCount2__AssociateHighRiskAddrCount
112,13_99_105,925.9824876,PaidAccounts__InquiryConsumerPhone__BusExecLinkPropertyOverlapCount2
113,51_56_110,922.0014594,BusinessActivity12Month__FirmReportedEarnings__BusExecLinkUtilityOverlapCount3
114,27_99_105,897.3796216,SSN.years.ago__InquiryConsumerPhone__BusExecLinkPropertyOverlapCount2
115,29_67_105_166,890.1069025,VantageScore3.SCORE__BankruptcyCount24Month__BusExecLinkPropertyOverlapCount2__BusExecLinkAuthRep2NameOnFile
116,88_97_110,888.1986973,AssetWatercraftCount__Inquiry03Month__BusExecLinkUtilityOverlapCount3
117,27_84_105,853.1633158,SSN.years.ago__AssetPropertyLotSizeTotal__BusExecLinkPropertyOverlapCount2
118,33_88_109,840.7943358,FS1__AssetWatercraftCount__BusExecLinkPropertyOverlapCount3
119,88_105_119,812.57726,AssetWatercraftCount__BusExecLinkPropertyOverlapCount2__AssociateHighCrimeAddrCount
120,6_17_67_107,795.6533946,PastDueAmount__PctNegTradesWas__BankruptcyCount24Month__BusExecLinkUtilityOverlapCount2
121,47_100_109,789.2314446,BusinessRecordTimeOldest__InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3
122,88_109_118,781.1123634,AssetWatercraftCount__BusExecLinkPropertyOverlapCount3__AssociateCount
123,33_103_110,764.1776663,FS1__BusExecLinkUtilityOverlapCount__BusExecLinkUtilityOverlapCount3
124,15_56_109,760.3228799,NowDelinquentDerog__FirmReportedEarnings__BusExecLinkPropertyOverlapCount3
125,16_100_109,729.4234314,PctNegTradesNow__InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3
126,82_105_107,726.2247723,AssetPropertyCount__BusExecLinkPropertyOverlapCount2__BusExecLinkUtilityOverlapCount2
127,5_100_109,726.0606967,RevolvingBalance__InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3
128,88_101_107_118,710.3792448,AssetWatercraftCount__BusExecLinkPropertyOverlapCount__BusExecLinkUtilityOverlapCount2__AssociateCount
129,63_88_105_118_131,707.0898306,SOSEverDefunct__AssetWatercraftCount__BusExecLinkPropertyOverlapCount2__AssociateCount__AssociateBusinessCount
130,68_109_159_182,706.725398,BankruptcyTimeNewest__BusExecLinkPropertyOverlapCount3__BusExecLinkAuthRepPhoneOnFile__InputPhoneProblems
131,15_67_110,700.0104174,NowDelinquentDerog__BankruptcyCount24Month__BusExecLinkUtilityOverlapCount3
132,50_67_110,694.9327446,BusinessActivity06Month__BankruptcyCount24Month__BusExecLinkUtilityOverlapCount3
133,16_56_109,653.0024298,PctNegTradesNow__FirmReportedEarnings__BusExecLinkPropertyOverlapCount3
134,56_81_110,645.9285585,FirmReportedEarnings__LienJudgmentDollarTotal__BusExecLinkUtilityOverlapCount3
135,5_67_110,642.5112722,RevolvingBalance__BankruptcyCount24Month__BusExecLinkUtilityOverlapCount3
136,29_67_110_153,639.9051159,VantageScore3.SCORE__BankruptcyCount24Month__BusExecLinkUtilityOverlapCount3__LienType
137,55_105_107,631.0717145,FirmReportedSales__BusExecLinkPropertyOverlapCount2__BusExecLinkUtilityOverlapCount2
138,45_59_102_107_120,623.7886013,FS20__OrgLegalEntityCount__BusExecLinkBusAddrAuthRepOwned__BusExecLinkUtilityOverlapCount2__AssociateFelonyCount
139,88_110_132,586.846604,AssetWatercraftCount__BusExecLinkUtilityOverlapCount3__AssociateCityCount
140,36_102_110,582.3676426,FS4__BusExecLinkBusAddrAuthRepOwned__BusExecLinkUtilityOverlapCount3
141,31_102_110,582.2947068,SSN.Missing__BusExecLinkBusAddrAuthRepOwned__BusExecLinkUtilityOverlapCount3
142,21_56_110,577.9636239,DelinquenciesOver30Days__FirmReportedEarnings__BusExecLinkUtilityOverlapCount3
143,56_102_107,577.630209,FirmReportedEarnings__BusExecLinkBusAddrAuthRepOwned__BusExecLinkUtilityOverlapCount2
144,36_102_107_120,576.1918899,FS4__BusExecLinkBusAddrAuthRepOwned__BusExecLinkUtilityOverlapCount2__AssociateFelonyCount
145,24_56_105,572.3477879,DerogCounter__FirmReportedEarnings__BusExecLinkPropertyOverlapCount2
146,88_102_110,554.1347396,AssetWatercraftCount__BusExecLinkBusAddrAuthRepOwned__BusExecLinkUtilityOverlapCount3
