"","Top.Module","Measure","Variables_Names"
"1","66_83_110","4004.46826265095","BankruptcyCount12Month__AssetPropertyStateCount__BusExecLinkUtilityOverlapCount3"
"2","66_101_109","4004.46826265095","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount__BusExecLinkPropertyOverlapCount3"
"3","66_101_110","4004.46826265095","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount__BusExecLinkUtilityOverlapCount3"
"4","66_110_130","4004.46826265095","BankruptcyCount12Month__BusExecLinkUtilityOverlapCount3__AssociateWatchlistCount"
"5","66_87_109","4004.46826265095","BankruptcyCount12Month__AssetAircraftCount__BusExecLinkPropertyOverlapCount3"
"6","66_110","3989.15591109967","BankruptcyCount12Month__BusExecLinkUtilityOverlapCount3"
"7","66_109","3989.15591109967","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount3"
"8","100_109_179","3463.44456253864","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3__BusAddrPersonNameOverlap"
"9","100_109_168","3456.53441146785","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3__BusExecLinkAuthRep2PhoneOnFile"
"10","66_101_107_168","3446.55049720328","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount__BusExecLinkUtilityOverlapCount2__BusExecLinkAuthRep2PhoneOnFile"
"11","66_101_105","3382.00624855643","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount__BusExecLinkPropertyOverlapCount2"
"12","66_101_107","3382.00624855643","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount__BusExecLinkUtilityOverlapCount2"
"13","66_105_167","3377.98079520204","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__BusExecLinkAuthRep2AddrOnFile"
"14","66_107_167","3377.98079520204","BankruptcyCount12Month__BusExecLinkUtilityOverlapCount2__BusExecLinkAuthRep2AddrOnFile"
"15","66_107_168","3377.98051999148","BankruptcyCount12Month__BusExecLinkUtilityOverlapCount2__BusExecLinkAuthRep2PhoneOnFile"
